Cu,Fe,Cr,Al,Si,Pb,Sn,Ni,Na,B,P,Zn,Mo,Ca,Mg,TBN,V100,V40,OXI,TAN,delta_visc_40,metal_sum,iron_to_copper_ratio,water_flag,antifreeze_flag,label
5,13,0,2,2,19,1,0,9,5,65,57,1,335,5,1.48,14.35,146.6,8,0.1,-3.4000000000000057,40,2.6,0,0,normal
5,14,0,0,6,23,3,0,7,5,47,15,2,453,4,1.89,15.32,146.7,2,0.09,-3.300000000000012,45,2.8,0,0,oil_change_needed
2,11,0,1,1,25,3,0,0,3,32,64,1,498,2,1.4,15.47,166.1,5,0.07,16.099999999999994,42,5.5,0,0,sludge_formation
5,9,0,1,3,17,1,0,7,4,52,33,0,283,1,3.21,12.91,166.3,12,0.11,16.30000000000001,33,1.8,0,0,oil_change_needed
3,7,1,0,3,18,6,0,17,3,68,37,1,334,6,2.72,15.74,134.6,2,-0.02,-15.400000000000006,35,2.33,0,0,normal
2,8,0,0,3,26,1,0,1,4,34,15,0,417,2,2.51,16.05,154.3,5,0.11,4.300000000000011,37,4.0,0,0,oil_change_needed
5,13,1,1,2,19,5,0,11,4,44,73,1,168,3,2.73,15.45,150.8,7,0.02,0.8000000000000114,44,2.6,0,0,normal
5,12,0,1,2,13,2,0,0,5,52,48,4,262,1,1.42,14.08,176.6,14,0.15,26.599999999999994,33,2.4,0,0,sludge_formation
9,11,0,0,1,25,2,0,6,6,46,10,1,202,1,2.7,14.39,137.9,2,0.2,-12.099999999999994,47,1.22,0,0,oil_change_needed
6,7,0,2,2,15,1,1,14,4,69,83,2,377,2,3.3,13.28,147.5,6,0.07,-2.5,31,1.17,0,0,normal
11,9,0,0,2,24,2,0,7,4,48,31,2,252,2,1.31,13.67,159.3,4,0.1,9.300000000000011,46,0.82,0,0,normal
4,16,0,1,2,26,3,0,7,1,41,11,1,132,2,3.04,15.29,170.7,2,0.07,20.69999999999999,50,4.0,0,0,oil_change_needed
4,11,0,0,2,15,1,0,3,6,52,96,0,394,1,0.63,14.23,135.2,10,0.06,-14.800000000000011,31,2.75,0,0,oil_change_needed
8,9,0,0,0,20,0,0,8,3,35,49,2,121,4,4.09,12.71,172.2,0,0.01,22.19999999999999,37,1.12,0,0,oil_change_needed
4,10,0,0,0,20,4,0,19,4,43,23,2,329,2,1.4,14.26,148.8,13,0.14,-1.1999999999999886,38,2.5,0,0,oil_change_needed
1,15,0,5,5,28,2,0,13,4,63,97,2,378,5,1.84,15.17,164.0,10,0.13,14.0,51,15.0,0,0,oil_change_needed
3,15,0,2,3,25,1,0,8,3,58,87,2,459,3,3.15,16.62,143.7,5,0.17,-6.300000000000011,46,5.0,0,0,normal
3,7,0,3,2,17,4,0,10,2,65,18,2,221,3,1.17,13.91,155.7,6,0.13,5.699999999999989,34,2.33,1,1,water_contamination
6,10,0,2,4,20,3,1,3,3,36,26,1,238,7,2.29,14.96,159.1,10,0.1,9.099999999999994,41,1.67,0,0,oil_change_needed
8,14,1,1,2,18,2,0,15,5,68,28,2,493,2,3.6,12.67,153.2,11,0.06,3.1999999999999886,44,1.75,0,0,oil_change_needed
5,9,0,2,3,22,6,0,0,3,47,89,0,128,1,2.93,14.15,149.5,2,-0.02,-0.5,44,1.8,0,0,normal
4,6,0,0,3,21,0,0,15,3,61,71,2,412,3,1.28,16.14,148.6,10,0.03,-1.4000000000000057,31,1.5,0,0,normal
2,14,0,0,2,20,0,0,5,4,52,72,0,273,2,2.95,13.82,152.9,8,0.06,2.9000000000000057,36,7.0,0,0,normal
5,3,0,0,2,23,2,0,16,3,42,67,1,465,1,3.97,15.11,147.7,5,0.13,-2.300000000000012,33,0.6,0,0,normal
4,5,0,0,2,20,3,0,11,4,41,76,1,146,1,1.66,15.48,167.1,5,0.09,17.099999999999994,32,1.25,0,0,oil_change_needed
6,8,0,2,2,22,1,0,19,4,59,52,1,390,2,3.26,11.75,173.4,3,0.14,23.40000000000001,39,1.33,0,0,oil_change_needed
7,11,0,0,6,21,2,1,0,4,65,73,5,178,3,2.99,12.47,135.0,10,0.17,-15.0,41,1.57,0,0,normal
6,11,1,0,0,18,2,0,17,4,40,99,1,387,3,3.44,16.86,149.4,6,0.09,-0.5999999999999943,38,1.83,0,0,normal
6,8,0,1,5,12,3,1,14,0,36,43,0,249,0,2.29,13.35,168.4,6,0.05,18.40000000000001,30,1.33,0,0,oil_change_needed
5,12,0,1,1,20,0,0,3,2,50,47,2,405,2,2.16,14.26,140.7,14,0.04,-9.300000000000011,38,2.4,0,0,normal
7,4,0,0,3,32,5,0,14,4,36,34,4,250,0,1.83,13.94,155.2,4,0.08,5.199999999999989,48,0.57,0,0,machine_depreciation
7,13,1,0,2,17,1,0,2,5,63,73,1,253,1,3.02,15.61,153.9,4,0.21,3.9000000000000057,39,1.86,0,0,sludge_formation
3,9,0,1,1,16,2,1,11,2,54,47,3,445,0,2.57,15.8,146.6,7,0.15,-3.4000000000000057,31,3.0,0,0,normal
8,12,0,1,2,19,1,0,7,0,60,80,1,150,2,1.6,14.25,160.6,12,0.15,10.599999999999994,41,1.5,0,0,normal
4,12,0,0,1,20,5,0,0,3,68,43,0,288,1,2.38,12.58,164.7,10,0.12,14.699999999999989,41,3.0,1,0,water_contamination
7,10,1,1,3,16,2,0,6,1,31,40,0,289,4,3.18,14.26,165.3,3,0.03,15.300000000000011,37,1.43,0,0,oil_change_needed
6,10,0,1,2,26,2,0,14,1,58,89,1,359,3,-0.25,16.07,150.6,11,0.01,0.5999999999999943,45,1.67,0,0,oil_change_needed
4,14,0,1,2,18,0,0,18,3,63,46,1,391,2,1.63,11.99,162.7,10,0.13,12.699999999999989,37,3.5,0,0,oil_change_needed
3,11,1,0,3,22,3,0,17,0,37,56,1,241,2,1.79,14.59,177.9,12,0.11,27.90000000000001,40,3.67,0,0,oil_change_needed
5,6,1,0,2,25,1,0,6,2,44,91,1,223,2,0.72,13.23,163.9,6,0.13,13.900000000000006,38,1.2,0,0,oil_change_needed
8,7,1,0,1,22,5,0,8,2,39,69,0,183,2,2.21,17.39,158.1,11,0.11,8.099999999999994,43,0.88,0,0,normal
4,10,0,1,2,22,2,1,0,2,36,50,0,219,1,0.76,13.08,168.1,5,0.16,18.099999999999994,39,2.5,0,0,sludge_formation
5,8,0,3,1,16,2,0,11,2,66,74,0,173,4,1.89,12.48,142.7,1,0.15,-7.300000000000011,34,1.6,0,0,normal
3,9,0,0,2,21,1,0,17,4,51,41,1,128,4,1.76,15.22,156.8,13,0.08,6.800000000000011,34,3.0,0,0,normal
4,11,0,1,3,17,4,0,19,4,65,29,0,187,2,1.53,13.54,156.8,11,0.06,6.800000000000011,37,2.75,0,0,oil_change_needed
5,7,0,2,1,15,1,0,7,3,36,43,0,215,1,3.36,13.86,137.6,8,0.05,-12.400000000000006,30,1.4,0,0,normal
8,7,0,1,1,18,2,0,19,3,58,99,2,428,3,1.28,13.61,147.6,1,0.06,-2.4000000000000057,36,0.88,0,0,normal
7,9,0,1,2,26,1,1,11,3,55,29,1,268,0,1.07,14.71,154.4,10,0.12,4.400000000000006,44,1.29,0,0,oil_change_needed
8,7,0,1,2,14,2,1,5,4,33,42,1,283,3,1.56,16.3,172.2,0,0.02,22.19999999999999,32,0.88,0,0,oil_change_needed
2,11,0,0,0,25,2,1,1,6,60,12,2,237,0,0.57,11.25,153.0,14,0.07,3.0,40,5.5,0,0,oil_change_needed
3,10,0,1,2,18,3,0,7,3,57,56,2,117,3,2.33,13.76,164.1,5,0.09,14.099999999999994,35,3.33,0,0,oil_change_needed
5,8,0,1,1,29,1,1,60,2,43,45,2,210,1,2.5,13.37,160.7,12,0.07,10.699999999999989,44,1.6,0,0,water_contamination
3,10,0,1,0,14,1,0,19,4,69,98,2,208,0,0.49,13.5,147.4,3,0.09,-2.5999999999999943,29,3.33,0,0,oil_change_needed
7,14,0,1,2,10,2,0,1,5,66,12,3,460,3,5.04,12.76,142.3,6,0.1,-7.699999999999989,34,2.0,0,0,oil_change_needed
4,9,0,0,0,20,1,1,9,6,54,27,1,453,3,2.76,12.29,144.1,6,0.05,-5.900000000000006,34,2.25,0,0,oil_change_needed
4,12,0,0,3,25,1,0,0,3,56,66,0,286,3,2.82,11.67,162.5,11,0.06,12.5,42,3.0,0,0,oil_change_needed
7,14,0,1,4,15,5,1,19,2,35,67,1,413,1,1.62,14.68,143.3,1,0.12,-6.699999999999989,42,2.0,0,0,normal
4,11,0,1,3,24,1,0,5,2,68,72,1,113,2,0.4,16.27,162.2,10,0.14,12.199999999999989,41,2.75,0,0,oil_change_needed
4,9,0,2,2,19,0,0,4,3,33,29,0,149,2,3.43,13.43,137.1,6,0.17,-12.900000000000006,34,2.25,0,0,oil_change_needed
6,11,0,2,4,25,1,0,1,0,61,34,0,220,2,2.02,15.09,165.2,1,0.07,15.199999999999989,45,1.83,0,0,oil_change_needed
3,14,1,1,3,19,1,0,9,1,37,68,0,195,1,2.43,14.07,158.7,7,0.11,8.699999999999989,39,4.67,0,0,normal
6,12,0,1,1,17,1,0,15,2,58,85,0,381,3,2.12,16.26,156.9,4,0.11,6.900000000000006,37,2.0,0,0,normal
3,18,1,1,4,27,4,0,14,0,58,35,0,348,4,2.37,15.86,148.2,7,0.05,-1.8000000000000114,54,6.0,0,0,normal
9,4,0,0,0,19,3,0,11,4,61,61,1,115,3,1.47,16.68,170.5,14,0.15,20.5,35,0.44,0,0,sludge_formation
4,7,0,0,3,18,5,0,9,3,40,81,0,312,3,1.12,15.23,148.5,5,0.14,-1.5,34,1.75,0,0,normal
7,8,1,0,1,18,3,0,7,1,34,67,2,303,1,0.75,13.96,143.4,10,0.1,-6.599999999999994,37,1.14,0,0,oil_change_needed
6,12,0,1,5,22,2,1,18,4,66,24,1,413,3,0.52,13.97,162.5,4,0.07,12.5,43,2.0,0,0,oil_change_needed
4,11,1,0,2,23,3,1,14,3,53,21,2,287,2,2.35,14.47,163.2,11,0.04,13.199999999999989,42,2.75,0,0,oil_change_needed
5,10,0,2,0,15,3,0,11,4,54,61,0,274,1,3.15,13.97,134.0,2,0.01,-16.0,35,2.0,0,0,normal
8,7,0,1,5,28,3,0,17,6,61,14,2,352,1,1.85,13.49,136.9,4,0.11,-13.099999999999994,47,0.88,0,0,oil_change_needed
4,9,1,0,1,22,1,0,11,5,69,36,0,258,5,0.74,13.72,133.1,12,0.16,-16.900000000000006,37,2.25,1,0,water_contamination
3,13,0,1,2,17,3,0,14,7,66,16,2,197,2,3.23,13.53,149.9,2,0.06,-0.0999999999999943,37,4.33,1,0,water_contamination
3,7,0,2,4,26,2,1,3,3,30,88,0,109,0,0.63,17.53,162.3,12,0.04,12.300000000000011,40,2.33,0,0,oil_change_needed
1,15,1,1,2,24,1,1,18,1,38,60,2,136,2,1.69,14.01,137.4,11,0.09,-12.599999999999994,43,15.0,0,1,normal
5,9,0,2,3,19,0,0,0,3,59,96,3,414,2,1.81,16.53,154.5,1,0.16,4.5,35,1.8,0,0,normal
6,13,0,1,0,24,3,0,14,1,66,69,1,451,4,3.13,14.16,164.9,0,0.02,14.900000000000006,47,2.17,0,0,oil_change_needed
4,2,1,0,1,15,1,1,1,1,52,72,1,113,5,0.59,16.66,158.9,9,0.03,8.900000000000006,23,0.5,0,0,oil_change_needed
3,5,0,1,2,27,4,0,2,3,55,62,3,119,2,0.46,16.11,166.7,2,0.13,16.69999999999999,40,1.67,0,0,sludge_formation
5,9,0,1,4,19,1,0,13,1,65,70,1,279,2,2.17,15.92,135.1,1,0.13,-14.900000000000006,35,1.8,0,0,normal
6,12,1,0,2,21,2,0,18,7,51,63,1,416,2,1.33,14.79,138.8,3,0.09,-11.199999999999989,42,2.0,0,0,normal
3,10,1,2,4,20,0,0,1,1,50,43,0,119,1,1.85,14.0,147.2,5,0.08,-2.800000000000012,36,3.33,1,0,water_contamination
6,11,0,5,3,22,1,1,6,2,39,24,2,489,3,3.99,14.61,138.4,11,0.06,-11.599999999999994,45,1.83,0,0,oil_change_needed
5,14,0,1,1,26,2,0,1,3,60,44,1,167,2,0.62,17.48,149.4,12,0.01,-0.5999999999999943,48,2.8,0,0,oil_change_needed
3,8,0,0,2,14,1,0,15,2,43,98,0,144,1,4.21,15.47,176.2,5,0.08,26.19999999999999,26,2.67,0,0,oil_change_needed
3,9,1,1,5,19,2,0,13,3,39,78,1,296,2,1.73,14.59,178.1,1,0.16,28.099999999999994,35,3.0,0,0,oil_change_needed
5,7,1,1,2,16,0,0,5,4,44,75,1,132,2,0.79,17.33,146.3,9,0.04,-3.6999999999999886,30,1.4,1,0,water_contamination
6,5,0,1,2,19,2,0,7,1,31,41,2,275,0,2.42,12.35,144.0,8,0.06,-6.0,33,0.83,0,0,normal
4,14,0,1,2,21,1,0,6,3,34,59,0,118,2,2.12,16.55,147.9,8,0.15,-2.0999999999999943,41,3.5,0,0,normal
5,12,1,1,0,21,2,0,12,3,33,86,0,129,1,2.01,15.52,156.5,5,0.15,6.5,42,2.4,0,0,normal
6,4,1,2,1,18,2,0,15,3,66,98,1,281,4,2.03,11.38,144.4,3,0.13,-5.599999999999994,33,0.67,0,0,normal
9,9,0,1,1,23,1,0,10,1,52,53,1,162,2,1.69,15.19,155.5,0,0.07,5.5,43,1.0,0,0,normal
6,11,1,0,2,14,4,0,2,4,39,88,0,395,2,2.76,17.01,163.1,9,0.1,13.099999999999994,36,1.83,0,0,oil_change_needed
8,6,0,0,1,18,3,0,9,3,53,28,3,330,2,3.79,13.23,161.5,8,0.11,11.5,35,0.75,0,0,oil_change_needed
4,4,0,1,4,19,2,0,1,2,37,63,1,264,1,0.34,16.93,163.8,2,0.06,13.800000000000011,30,1.0,0,0,oil_change_needed
7,8,0,1,3,24,3,0,6,1,68,69,1,269,1,2.14,16.45,168.9,1,0.21,18.90000000000001,43,1.14,1,0,water_contamination
6,13,0,0,1,16,1,1,1,3,63,63,2,107,3,2.36,14.69,163.3,2,0.09,13.300000000000011,36,2.17,0,0,oil_change_needed
4,15,0,2,4,27,2,0,8,3,34,97,0,137,4,2.01,12.28,137.9,3,0.15,-12.099999999999994,50,3.75,0,0,normal
5,8,1,1,2,13,0,0,8,3,45,56,0,389,3,2.17,14.3,143.3,13,0.05,-6.699999999999989,28,1.6,0,0,normal
4,15,1,0,2,25,3,1,7,1,48,80,2,196,1,1.11,12.7,157.9,8,0.23,7.900000000000006,48,3.75,0,0,sludge_formation
3,8,0,1,0,30,1,0,15,1,42,96,0,394,3,1.8,14.8,169.1,5,0.11,19.099999999999994,43,2.67,0,0,oil_change_needed
6,8,0,1,2,15,1,0,19,4,36,60,2,287,1,0.94,14.71,155.5,6,0.08,5.5,31,1.33,0,0,oil_change_needed
5,13,0,0,0,20,0,0,5,2,58,60,0,373,5,3.45,15.37,145.8,4,0.11,-4.199999999999989,38,2.6,0,0,normal
5,11,0,2,3,16,1,0,14,6,63,57,1,279,3,2.34,13.36,136.3,6,0.1,-13.699999999999989,35,2.2,0,0,normal
7,10,1,0,1,29,2,0,12,2,60,43,0,467,1,2.18,14.2,163.2,10,0.09,13.199999999999989,49,1.43,0,0,oil_change_needed
7,13,0,2,1,16,3,0,9,2,43,64,2,135,0,3.81,12.32,170.0,2,0.2,20.0,41,1.86,0,0,oil_change_needed
7,12,0,0,4,21,1,0,5,4,31,26,1,495,1,2.16,12.41,163.7,1,0.11,13.699999999999989,41,1.71,0,0,oil_change_needed
4,4,0,0,5,15,0,0,10,6,55,34,0,159,0,2.98,14.16,167.4,2,0.19,17.400000000000006,23,1.0,0,0,oil_change_needed
6,12,0,2,1,27,2,0,4,3,62,52,1,225,2,3.67,13.78,162.6,1,-0.02,12.599999999999994,49,2.0,0,0,oil_change_needed
8,13,0,0,2,7,3,1,16,5,37,65,2,365,1,1.52,14.02,144.0,12,0.07,-6.0,31,1.62,0,0,normal
7,11,0,0,2,15,3,0,14,3,39,33,0,113,3,0.37,13.85,152.7,4,0.02,2.6999999999999886,36,1.57,0,0,oil_change_needed
5,15,0,1,1,24,1,0,2,0,65,46,3,499,3,1.65,13.56,148.3,3,0.14,-1.6999999999999886,46,3.0,0,0,normal
4,11,0,0,1,13,2,1,11,5,36,10,0,148,3,2.75,15.47,157.5,6,0.06,7.5,30,2.75,0,0,oil_change_needed
8,7,0,1,2,17,5,0,4,5,36,59,2,218,3,0.81,15.48,148.5,13,0.04,-1.5,38,0.88,0,0,oil_change_needed
4,8,1,2,1,13,3,0,9,4,68,46,0,401,3,3.49,14.2,162.1,3,0.12,12.099999999999994,31,2.0,0,0,oil_change_needed
4,9,1,0,0,23,1,0,18,3,46,98,2,341,3,1.84,15.23,171.0,7,0.1,21.0,38,2.25,0,0,oil_change_needed
5,7,1,2,1,18,4,0,12,2,67,10,0,353,1,0.47,14.06,170.9,9,0.09,20.90000000000001,37,1.4,0,1,sludge_formation
6,9,0,2,1,27,1,1,6,1,58,61,0,116,4,0.59,15.12,128.9,0,0.0,-21.099999999999994,45,1.5,0,0,oil_change_needed
5,13,0,0,3,19,6,0,0,6,40,63,0,451,0,1.52,14.37,149.7,5,0.05,-0.3000000000000113,43,2.6,0,0,normal
4,12,1,1,0,25,0,0,17,2,38,12,1,177,0,1.43,15.14,164.6,3,0.0,14.599999999999994,43,3.0,0,0,oil_change_needed
5,8,0,0,0,24,1,0,3,4,36,59,1,462,2,0.75,15.94,155.3,10,0.12,5.300000000000011,38,1.6,0,1,oil_change_needed
5,13,0,1,2,11,0,0,19,3,55,38,0,165,2,2.15,16.01,156.0,0,0.06,6.0,30,2.6,0,0,normal
4,10,1,2,3,26,0,0,5,4,34,68,0,188,2,0.02,15.05,154.9,10,0.11,4.900000000000006,43,2.5,1,0,water_contamination
7,10,0,1,0,14,1,0,1,3,33,46,0,236,3,2.06,10.82,159.9,11,0.09,9.900000000000006,33,1.43,0,1,normal
11,9,0,0,2,18,2,0,3,4,35,97,1,364,2,0.77,15.83,160.1,11,0.08,10.099999999999994,40,0.82,0,0,oil_change_needed
7,14,0,0,2,20,5,1,3,0,31,58,3,456,2,2.92,14.98,157.9,1,0.04,7.900000000000006,46,2.0,0,0,normal
2,10,0,1,2,23,3,0,4,4,60,45,0,191,1,0.88,17.63,151.7,10,0.1,1.6999999999999886,39,5.0,0,0,oil_change_needed
4,7,0,0,1,18,2,0,17,6,36,48,0,415,1,3.61,17.71,135.7,2,0.23,-14.300000000000011,31,1.75,0,0,sludge_formation
6,12,1,1,2,21,2,0,16,3,32,66,1,348,3,2.44,13.54,156.5,7,0.06,6.5,43,2.0,0,0,normal
4,12,0,2,0,30,2,1,7,2,51,23,2,265,1,2.61,15.11,152.6,5,0.11,2.5999999999999943,50,3.0,0,0,oil_change_needed
4,6,0,0,5,18,2,1,4,5,57,28,2,409,3,2.32,15.85,153.4,12,0.15,3.4000000000000057,30,1.5,1,0,water_contamination
4,12,1,2,3,20,3,0,0,0,43,12,3,293,1,2.6,11.36,164.0,13,0.05,14.0,42,3.0,0,0,oil_change_needed
4,8,0,0,1,14,3,0,4,1,69,39,0,147,0,2.46,14.01,149.3,3,0.11,-0.6999999999999886,29,2.0,0,0,normal
7,13,0,3,0,15,3,0,6,7,57,75,0,239,1,1.66,15.26,150.3,8,0.04,0.3000000000000113,41,1.86,0,0,normal
7,8,1,2,1,19,4,0,10,10,58,43,1,486,0,0.61,15.59,162.5,2,0.08,12.5,41,1.14,0,0,oil_change_needed
10,16,0,1,1,19,4,0,10,2,51,75,2,329,3,0.47,14.25,155.0,7,0.1,5.0,50,1.6,0,0,oil_change_needed
4,9,0,0,0,25,3,1,7,5,33,94,3,432,2,2.02,14.23,151.6,5,0.1,1.5999999999999943,41,2.25,0,0,normal
7,15,1,1,2,32,2,0,17,1,69,41,0,368,2,2.33,12.74,156.8,13,0.0,6.800000000000011,58,2.14,0,0,machine_depreciation
4,10,1,1,1,25,3,0,60,5,67,61,0,124,5,1.34,13.56,140.6,13,0.09,-9.400000000000006,44,2.5,0,0,water_contamination
4,14,1,0,0,21,1,0,15,1,44,54,1,292,5,0.13,12.62,161.0,5,0.14,11.0,41,3.5,0,0,oil_change_needed
6,12,1,0,0,19,2,0,13,3,45,28,0,234,2,1.7,15.57,145.3,0,0.12,-4.699999999999989,40,2.0,0,0,oil_change_needed
3,8,0,1,2,23,2,1,3,3,39,75,1,347,1,2.33,15.61,169.2,8,0.03,19.19999999999999,37,2.67,0,0,oil_change_needed
7,11,0,2,3,18,0,0,15,1,31,22,1,306,0,2.17,14.56,156.9,11,0.19,6.900000000000006,38,1.57,0,0,oil_change_needed
7,11,0,1,0,20,1,0,18,1,33,21,1,173,0,2.39,13.02,170.5,1,0.24,20.5,40,1.57,0,0,sludge_formation
7,8,1,1,1,18,2,0,12,0,69,52,1,113,3,0.93,15.29,168.4,13,-0.05,18.40000000000001,37,1.14,0,0,sludge_formation
5,14,0,1,0,19,2,0,10,2,44,37,1,338,5,2.46,17.77,161.7,4,0.03,11.699999999999989,41,2.8,0,0,normal
2,11,0,3,4,20,3,1,11,3,69,28,2,258,3,2.33,15.74,160.6,10,0.09,10.599999999999994,39,5.5,0,0,oil_change_needed
4,7,0,1,3,21,1,1,4,3,46,43,2,448,1,1.6,14.96,164.6,10,0.1,14.599999999999994,34,1.75,0,0,oil_change_needed
8,10,0,0,0,14,0,0,7,4,58,67,1,325,2,2.5,14.21,131.5,5,0.05,-18.5,32,1.25,0,0,normal
8,12,1,5,4,25,1,0,8,4,63,33,0,474,2,2.09,14.47,160.0,11,0.09,10.0,52,1.5,0,0,normal
3,14,0,2,0,21,3,0,10,1,34,38,1,398,4,2.67,13.22,156.0,7,0.11,6.0,43,4.67,0,0,normal
6,9,1,0,0,18,4,0,11,2,64,67,2,206,3,1.95,15.1,164.8,3,0.08,14.800000000000011,38,1.5,0,0,oil_change_needed
4,12,1,0,2,17,1,0,18,6,33,76,1,374,4,2.01,13.01,164.8,8,0.09,14.800000000000011,35,3.0,0,0,oil_change_needed
7,7,0,1,0,16,5,1,14,1,33,73,3,413,4,2.34,14.24,157.8,11,0.04,7.800000000000011,36,1.0,1,0,water_contamination
4,12,0,0,3,20,1,0,3,2,61,76,1,296,3,0.95,12.97,164.5,12,0.13,14.5,37,3.0,0,0,oil_change_needed
